LIBELLEOPERATION,categorie_nom,CATEGORIE
 TAZAJ CALIFORNI,Caf̩sEtRestaurants,2
 TDM PATISSERIE,Caf̩sEtRestaurants,2
 TEQUILA SOLO,Caf̩sEtRestaurants,2
 THE BEST FROU F,Caf̩sEtRestaurants,2
 TIGRE HOUSE,Caf̩sEtRestaurants,2
 TIWLIT,Caf̩sEtRestaurants,2
 TOP S COMPAGNIE,Caf̩sEtRestaurants,2
 TOUT SIMPLEMENT,Caf̩sEtRestaurants,2
 TRAITEUR BERRAD ,Caf̩sEtRestaurants,2
 TRIFOOD,Caf̩sEtRestaurants,2
 TWIN APPLE,Caf̩sEtRestaurants,2
 TWINFACE,Caf̩sEtRestaurants,2
 TY  POTES,Caf̩sEtRestaurants,2
 ULTIMO BACCIO,Caf̩sEtRestaurants,2
 UN DEJEUNER A M,Caf̩sEtRestaurants,2
 VANGHOG,Caf̩sEtRestaurants,2
 VENEZIA ICE  TA,Caf̩sEtRestaurants,2
 VENEZIA ICE KIT,Caf̩sEtRestaurants,2
 VENEZIA TNG CEN,Caf̩sEtRestaurants,2
 VENIZIA ICE SAM,Caf̩sEtRestaurants,2
 VGK REST,Caf̩sEtRestaurants,2
 VI EME AVENUE,Caf̩sEtRestaurants,2
 VIANDARI,Caf̩sEtRestaurants,2
 VIANDIS EXPRESS,Caf̩sEtRestaurants,2
 VIGNAULT TRAITE,Caf̩sEtRestaurants,2
 VINH ALONG,Caf̩sEtRestaurants,2
 VITALIS,Caf̩sEtRestaurants,2
 WHO S,Caf̩sEtRestaurants,2
 YOKA SUSHI,Caf̩sEtRestaurants,2
 YOKA SUSHI CASA,Caf̩sEtRestaurants,2
 YOKA SUSHI RIAD,Caf̩sEtRestaurants,2
 ZANZI BAR,Caf̩sEtRestaurants,2
 ZAYTOUNA ESPACE,Caf̩sEtRestaurants,2
 ZENZI BAR ANDAL,Caf̩sEtRestaurants,2
 ZERDA BUFET,Caf̩sEtRestaurants,2
 ZIMER BEACH RES,Caf̩sEtRestaurants,2
 ZIMER BEACH RES,Caf̩sEtRestaurants,2
 ZORKA SARL,Caf̩sEtRestaurants,2
 ZANZI BAR,,2
ACIMA,Courses,3
ACIMA BENIMELLA,Courses,3
ACIMA BERRECHID,Courses,3
ACIMA FES I A,Courses,3
ACIMA FES II G,Courses,3
ACIMA HAY CHABA,Courses,3
ACIMA IBN TACHF,Courses,3
ACIMA KENITRA,Courses,3
ACIMA SIDI OTMA,Courses,3
ACIMA TETOUAN G,Courses,3
ALAHYAN CONFISE,Courses,3
ALLOUHOUMIATE,Courses,3
ASWAK,Courses,3
ASWAK SALAM OUL,Courses,3
ASWAK SALAM TAN,Courses,3
B P MARJANE MOH,Courses,3
BIM,Courses,3
BIM      AGDAL,Courses,3
BIM      HAY MO,Courses,3
BIM      MAARIF,Courses,3
BIM AL QODS,Courses,3
BIM BEAUSEJOUR,Courses,3
BIM LIBERTE MDI,Courses,3
BIM STORES ABDE,Courses,3
BIM STORES ABI,Courses,3
BIM STORES ANNA,Courses,3
BIM STORES AW L,Courses,3
BIM STORES BOUS,Courses,3
BIM STORES DAR,Courses,3
BIM STORES FRAN,Courses,3
BIM STORES GAUT,Courses,3
BIM STORES HAD,Courses,3
BIM STORES HAY,Courses,3
BIM STORES LA G,Courses,3
BIM STORES MDIA,Courses,3
BIM STORES OULA,Courses,3
BIM STORES PALM,Courses,3
BIM STORES SIDI,Courses,3
BIM STORES VAL,Courses,3
BIM STORES WIAM,Courses,3
BIM STORES Y MA,Courses,3
BOTTEGA DEI SAP,Courses,3
BOUCHERIE AL AN,Courses,3
BOUCHERIE FERKO,Courses,3
BOUCHERIE IFOUL,Courses,3
BOUCHERIE MLY S,Courses,3
BRICOMAG KENITR,Courses,3
CARREFOUR BF A,Courses,3
CARREFOUR BF A,Courses,3
CARRFOUR MARKET,Courses,3
COOPERATIVE API,Courses,3
DROGUERIE LACHG,Courses,3
DRUGSTORE TREFF,Courses,3
FAKIA D EN  NOG,Courses,3
FISH SHOP MAARI,Courses,3
GBARI  MARRAKEC,Courses,3
GIO LABEL VIE,Courses,3
GMS KIOSQUE ECO,Courses,3
GOURMET MARKET,Courses,3
GOURMET STORE,Courses,3
INDY LIGHT,Courses,3
JAOUHARAT SARA,Courses,3
LA  VIANDERIE,Courses,3
LA BOQUERIA,Courses,3
LA FONDA BELVED,Courses,3
LA GAB MARJANE,Courses,3
LA GAB MARJANE,Courses,3
LABEL PARA II,Courses,3
LABEL VIE,Courses,3
LABEL VIE G MAN,Courses,3
LABEL VIE GAUTH,Courses,3
LABEL VIE OULFA,Courses,3
LABELVIE,Courses,3
LE PLATEAU D OR,Courses,3
LIBRE SERVICE,Courses,3
MARJANE KHOURIB,Courses,3
MARJANE LARACHE,Courses,3
MARJANE M M G,Courses,3
MARJANE SAFI A,Courses,3
MARJANE SAIDIA,Courses,3
MARJANE SIDI SL,Courses,3
MAXI LV,Courses,3
METRO,Courses,3
MINI MARKET AL,Courses,3
PLANTAMI  SARL,Courses,3
PLANTAMI  SARL,Courses,3
PRETTY LINGE,Courses,3
SODREYAS,Courses,3
SOMAFISH,Courses,3
SUPER  BOUSKOUR,Courses,3
SUPER  BOUSKOUR,Courses,3
SUPER MAMOUN,Courses,3
SUPER MARCHE,Courses,3
SUPER MARCHE BE,Courses,3
SUPERETTE,Courses,3
SUPERMARCH,Courses,3
SUPERS MARCHES,Courses,3
TOP CLASS BF,Courses,3
VIANDARI,Courses,3
WSK MARJANE CAL,Courses,3
XPRESS MARKET,Courses,3
XPRESS MARKET,Courses,3
ZEGUMOUNI ALIME,Courses,3
 ACIMA,Courses,3
 ACIMA TEMARA G,Courses,3
 ACIMA TEMARA G ,Courses,3
 ANIMAL PLANET,Courses,3
 APIA CASABLANCA ,Courses,3
 ASWAK ASSALAM E,Courses,3
 ASWAK SALAM,Courses,3
 BIM STORES,Courses,3
 BIM STORES PRIN ,Courses,3
 BOUCHERIE BOVIS ,Courses,3
 BOUCHERIE GRILL ,Courses,3
 CARREFOUR,Courses,3
 CARREFOUR,Courses,3
 CARREFOUR,Courses,3
 CHEZ MARIE J  L,Courses,3
 CHOCOLUX,Courses,3
 CHOCOLUX ,Courses,3
 CHOCOLUX JEFF D,Courses,3
 FISH MARKET ,Courses,3
 I S L A,Courses,3
 JEFF DE BRUGES,Courses,3
 JPME DISTRIBUTI,Courses,3
 LA BELVIE,Courses,3
 LABEL VIE,Courses,3
 LABEL VIE SETTA ,Courses,3
 LABEL VIE SHEMS ,Courses,3
 LABELVIE,Courses,3
 MARJANE,Courses,3
 MARJANE CALIFOR,Courses,3
 MARJANE MENARA,Courses,3
 MAXI LV,Courses,3
 MAXI LV,Courses,3
 MINI MARKET,Courses,3
 NESPRESSO,Courses,3
 O SELF SUPER MA,Courses,3
 PATCHI,Courses,3
 RIS PASTA DILUI,Courses,3
 SABRINE SUPER M,Courses,3
 SODREYAS,Courses,3
 SOMAFISH,Courses,3
 SUPER MAMOUN SA,Courses,3
 SUPER MARCHE,Courses,3
 SUPER MARCHE JE ,Courses,3
 SUPERMARCHE WAN ,Courses,3
 TROPY A ,Courses,3
AFR  I GUENOUN,TransportEtVoiture,4
AFRIQ  I TAMARE,TransportEtVoiture,4
AFRIQ  I YASMIN,TransportEtVoiture,4
AFRIQ ACIMA EL,TransportEtVoiture,4
AFRIQ I METRO O,TransportEtVoiture,4
AFRIQ I Tiznit,TransportEtVoiture,4
AFRIQ I Zagora,TransportEtVoiture,4
AFRIQUE RENTCAR,TransportEtVoiture,4
AFRIQUIA  I AFR,TransportEtVoiture,4
AFRIQUIA  I BIO,TransportEtVoiture,4
AFRIQUIA  I OUB,TransportEtVoiture,4
AFRIQUIA  I SID,TransportEtVoiture,4
AFRIQUIA AL MAM,TransportEtVoiture,4
AFRIQUIA I  AL,TransportEtVoiture,4
AFRIQUIA I CPLE,TransportEtVoiture,4
AFRIQUIA I TAME,TransportEtVoiture,4
AFRIQUIA JAWHAR,TransportEtVoiture,4
AFRQ  D AZROU,TransportEtVoiture,4
AFRQ  I BERKANE,TransportEtVoiture,4
AFRQ D ADM JBIL,TransportEtVoiture,4
AFRQ D ADM LAAY,TransportEtVoiture,4
AFRQ D ADM LMSS,TransportEtVoiture,4
AFRQ D AEROPORT,TransportEtVoiture,4
AFRQ D BAB EL K,TransportEtVoiture,4
AFRQ D BENI MEL,TransportEtVoiture,4
AFRQ D ESSAOUIR,TransportEtVoiture,4
AFRQ D GRANDECE,TransportEtVoiture,4
AFRQ D GUADDOUR,TransportEtVoiture,4
AFRQ D HAD SOUA,TransportEtVoiture,4
AFRQ D NARJIS,TransportEtVoiture,4
AFRQ D OULED HR,TransportEtVoiture,4
AFRQ MARJANE HO,TransportEtVoiture,4
AFRQ MARJANE KH,TransportEtVoiture,4
AFRQ O ADM GREN,TransportEtVoiture,4
AFRQ O ADM MSSO,TransportEtVoiture,4
AFRQ O ADM SETT,TransportEtVoiture,4
AFRQ O AEROPORT,TransportEtVoiture,4
ALFA AIR,TransportEtVoiture,4
AMINE CAR,TransportEtVoiture,4
ATRAXION     EQ,TransportEtVoiture,4
AUTO MESKI MEKN,TransportEtVoiture,4
AUTO NEJMA MARO,TransportEtVoiture,4
AUTO NEJMA RABA,TransportEtVoiture,4
BAHJA PNEUS,TransportEtVoiture,4
BOUGHAZ AUTO SA,TransportEtVoiture,4
BUFFET CTM,TransportEtVoiture,4
CAISSE RENAULT,TransportEtVoiture,4
CAISSE SGA CITR,TransportEtVoiture,4
CAISSE SGA PEUG,TransportEtVoiture,4
CAISSE SGA SALE,TransportEtVoiture,4
CARPITCH,TransportEtVoiture,4
CMH  I AIN EL B,TransportEtVoiture,4
CMH  I IZIKI,TransportEtVoiture,4
CMH  I RTE DE T,TransportEtVoiture,4
CMH  I SAMIR,TransportEtVoiture,4
CMH I Belair,TransportEtVoiture,4
CMH I CHAOUIA,TransportEtVoiture,4
CMH I OULED TAY,TransportEtVoiture,4
CMH I R Point H,TransportEtVoiture,4
CMH I Tchich,TransportEtVoiture,4
CMH I Tensift,TransportEtVoiture,4
CONDORTIUM,TransportEtVoiture,4
CONDORTIUM ECOM,TransportEtVoiture,4
CPIT AIN SEBAA,TransportEtVoiture,4
CVT KOUDOUS,TransportEtVoiture,4
DHL ABDELMOUMEN,TransportEtVoiture,4
DHL MARRAKECH,TransportEtVoiture,4
DHL RABAT,TransportEtVoiture,4
DOMAINE D AMANA,TransportEtVoiture,4
ETS  KAUFMANN,TransportEtVoiture,4
ETS HAKAM FRERE,TransportEtVoiture,4
ETS TASKAL,TransportEtVoiture,4
EUROPCAR MA RAK,TransportEtVoiture,4
FARAJ AUTO,TransportEtVoiture,4
GOMMENGENGER CO,TransportEtVoiture,4
GREEN OIL AIN A,TransportEtVoiture,4
GUELIZ PNEUS Q,TransportEtVoiture,4
HERTZ  MAROC TN,TransportEtVoiture,4
IMPERIAL PNEU B,TransportEtVoiture,4
INTER TRONIC,TransportEtVoiture,4
INTERLUX GM,TransportEtVoiture,4
JAGUAR MAROC,TransportEtVoiture,4
KAT GUELIZ,TransportEtVoiture,4
KAUFMANN II,TransportEtVoiture,4
L ART DU PINCEA,TransportEtVoiture,4
LA VIE SPORTIVE,TransportEtVoiture,4
LEGENDCO,TransportEtVoiture,4
MIFA,TransportEtVoiture,4
MIFA BUREAU DE,TransportEtVoiture,4
MOBIL  I CHRIFI,TransportEtVoiture,4
MOBIL I Bouameu,TransportEtVoiture,4
MOBIL I LIBERTE,TransportEtVoiture,4
MOROCCO RENT,TransportEtVoiture,4
OIL STAT,TransportEtVoiture,4
OILIBYA  I EL B,TransportEtVoiture,4
ONCF  AGDAL,TransportEtVoiture,4
ONCF DAT AERO M,TransportEtVoiture,4
ONCF DAT AIN SE,TransportEtVoiture,4
ONCF DAT KENITR,TransportEtVoiture,4
ONCF DAT MARRAK,TransportEtVoiture,4
ONCF DAT TEMARA,TransportEtVoiture,4
ONCF MARRAKECH,TransportEtVoiture,4
ONCF MOHAMMEDIA,TransportEtVoiture,4
ONCF OASIS,TransportEtVoiture,4
PETROM  D ISTIR,TransportEtVoiture,4
PETROM  I BAB A,TransportEtVoiture,4
PETROM I LIMOUN,TransportEtVoiture,4
PETROMIN D Al B,TransportEtVoiture,4
PETROMIN D Anna,TransportEtVoiture,4
PETROMIN I Menz,TransportEtVoiture,4
PETROMIN I SDCS,TransportEtVoiture,4
PIECES AUTOS LA,TransportEtVoiture,4
PNEU AMINE EL J,TransportEtVoiture,4
PNEUMATIQUE AML,TransportEtVoiture,4
PNEUMATIQUE ROC,TransportEtVoiture,4
PNEURAMA,TransportEtVoiture,4
PREMIUM AUTO CA,TransportEtVoiture,4
PRINCE AUTO,TransportEtVoiture,4
RABAT CARTOUR,TransportEtVoiture,4
RADIFA,TransportEtVoiture,4
SELECT RENT A C,TransportEtVoiture,4
SHELL  I BAB LH,TransportEtVoiture,4
SHELL  I CHEFCH,TransportEtVoiture,4
SHELL  I DU MAR,TransportEtVoiture,4
SHELL  I EL BOU,TransportEtVoiture,4
SHELL  I JONQUI,TransportEtVoiture,4
SHELL  I MAAMOR,TransportEtVoiture,4
SHELL  I MATAHI,TransportEtVoiture,4
SHELL  I OUED A,TransportEtVoiture,4
SHELL  I SAADA,TransportEtVoiture,4
SHELL  I SILIS,TransportEtVoiture,4
SHELL  I TEMARA,TransportEtVoiture,4
SHELL  I TINGHE,TransportEtVoiture,4
SHELL D FES PK,TransportEtVoiture,4
SHELL DERB MLY,TransportEtVoiture,4
SHELL I AIN HAR,TransportEtVoiture,4
SHELL I Belahma,TransportEtVoiture,4
SHELL I Belfaa,TransportEtVoiture,4
SHELL I CHEKKOU,TransportEtVoiture,4
SHELL I DOKKARA,TransportEtVoiture,4
SHELL I EL MARO,TransportEtVoiture,4
SHELL I MOHAMME,TransportEtVoiture,4
SHELL I TAMANSO,TransportEtVoiture,4
SHELL I TIKIOUI,TransportEtVoiture,4
SHELL TADLA,TransportEtVoiture,4
SICAR AUTO,TransportEtVoiture,4
SIXT CAR AER MV,TransportEtVoiture,4
SMEIA,TransportEtVoiture,4
SOCOPETA,TransportEtVoiture,4
SOPRIAM,TransportEtVoiture,4
SOPRIAM RAK,TransportEtVoiture,4
SOPRIAM RTE AZE,TransportEtVoiture,4
SOSEBRO,TransportEtVoiture,4
ST PETROM RIAD,TransportEtVoiture,4
ST SHELL SAMSA,TransportEtVoiture,4
STAT I  PETROFI,TransportEtVoiture,4
STAT SERV TOTAL,TransportEtVoiture,4
STATION AFRIQUI,TransportEtVoiture,4
STATION MR KHAT,TransportEtVoiture,4
STATION SHELL M,TransportEtVoiture,4
STATION SHELL O,TransportEtVoiture,4
STATION SHELL P,TransportEtVoiture,4
TOTAL  I AIN AT,TransportEtVoiture,4
TOTAL  I AL MAT,TransportEtVoiture,4
TOTAL  I AMINE,TransportEtVoiture,4
TOTAL  I ASSALA,TransportEtVoiture,4
TOTAL  I NEKKOR,TransportEtVoiture,4
TOTAL  I SEBOU,TransportEtVoiture,4
TOTAL  I SIDI S,TransportEtVoiture,4
TOTAL  I TINGHI,TransportEtVoiture,4
TOTAL  I TRIFA,TransportEtVoiture,4
TOTAL  I ZALAGH,TransportEtVoiture,4
TOTAL D AZEMMOU,TransportEtVoiture,4
TOTAL D BENSOUD,TransportEtVoiture,4
TOTAL GARAGE EL,TransportEtVoiture,4
TOTAL I Akioud,TransportEtVoiture,4
TOTAL I AL FATH,TransportEtVoiture,4
TOTAL I Benali,TransportEtVoiture,4
TOTAL I GHOUROU,TransportEtVoiture,4
TOTAL I LIBERTE,TransportEtVoiture,4
TOTAL I Tiznit,TransportEtVoiture,4
TOTAL MOUSTAKBA,TransportEtVoiture,4
TOTAL OPRA AZRO,TransportEtVoiture,4
TOYOTA C ZERKTO,TransportEtVoiture,4
TOYOTA D AGADIR,TransportEtVoiture,4
TOYOTA D EL JAD,TransportEtVoiture,4
TOYOTA DE FES,TransportEtVoiture,4
UNIVERS MOTORS,TransportEtVoiture,4
VETER MAROC,TransportEtVoiture,4
VILLAGE AUTO,TransportEtVoiture,4
ZENATA CAR VILL,TransportEtVoiture,4
ZIZ  I GAMAZIZ,TransportEtVoiture,4
ZIZ  I STATION,TransportEtVoiture,4
ZIZ  I TALIOUIN,TransportEtVoiture,4
ZIZ D MEKNES,TransportEtVoiture,4
ZIZ D MENZEH ME,TransportEtVoiture,4
ZIZ I Erfoud,TransportEtVoiture,4
 AFRIQ  I,TransportEtVoiture,4
 AFRIQ ACIMA TEM,TransportEtVoiture,4
 AFRIQ I METRO,TransportEtVoiture,4
 AFRIQ I METRO,TransportEtVoiture,4
 AFRIQ MARJ,TransportEtVoiture,4
 AFRIQ MARJ,TransportEtVoiture,4
 AFRIQ MARJ  ,TransportEtVoiture,4
 AFRIQ MARJ AIN,TransportEtVoiture,4
 AFRIQUE RENTCAR,TransportEtVoiture,4
 AFRIQUIA  I,TransportEtVoiture,4
 AFRIQUIA  I FAR ,TransportEtVoiture,4
 AFRIQUIA I KASR ,TransportEtVoiture,4
 AFRQ,TransportEtVoiture,4
 AFRQ D,TransportEtVoiture,4
 AFRQ D,TransportEtVoiture,4
 AGIP I,TransportEtVoiture,4
 AMINE CAR,TransportEtVoiture,4
 AMZ TEAM,TransportEtVoiture,4
 ATRAXION     EQ,TransportEtVoiture,4
 AUDI TERMINAL,TransportEtVoiture,4
 AUDI TERMINAL,TransportEtVoiture,4
 AUTO,TransportEtVoiture,4
 AUTOHALL,TransportEtVoiture,4
 BAHJA PNEUS,TransportEtVoiture,4
 BEXEL SA,TransportEtVoiture,4
 BOUGHAZ AUTO SA,TransportEtVoiture,4
 CAISSE RENAULT,TransportEtVoiture,4
 CAISSE SGA SALE,TransportEtVoiture,4
 CARPITCH,TransportEtVoiture,4
 CASA TRAM,TransportEtVoiture,4
 CFAO MOTORS O S ,TransportEtVoiture,4
 CFAO MOTORS RAB,TransportEtVoiture,4
 CMH,TransportEtVoiture,4
 CMH,TransportEtVoiture,4
 CMH  I,TransportEtVoiture,4
 CMH  I HYPPODRO,TransportEtVoiture,4
 CMH D OUM REBII,TransportEtVoiture,4
 CMH I Zahri ,TransportEtVoiture,4
 CPHM,TransportEtVoiture,4
 CTM ECOM,TransportEtVoiture,4
 CVT KOUDOUS,TransportEtVoiture,4
 DHL AGADIR,TransportEtVoiture,4
 DIESEL MASSIRA,TransportEtVoiture,4
 DMA,TransportEtVoiture,4
 DYNAMIC AUTO,TransportEtVoiture,4
 ENELP D,TransportEtVoiture,4
 ENELP D  Avenir,TransportEtVoiture,4
 ENELP D Ouarzaz ,TransportEtVoiture,4
 ENELP D S,TransportEtVoiture,4
 ESSENCES DU MAR,TransportEtVoiture,4
 ETS HAKAM FRERE,TransportEtVoiture,4
 EUROPCAR MA RAK,TransportEtVoiture,4
 EUROPCAR MAROC,TransportEtVoiture,4
 FARAJ AUTO,TransportEtVoiture,4
 FRS MAROC SARL,TransportEtVoiture,4
 FRS MAROC TNG M,TransportEtVoiture,4
 G E RABAT,TransportEtVoiture,4
 GE HYUNDAI RAK,TransportEtVoiture,4
 GE HYUNDAI SAV,TransportEtVoiture,4
 GE HYUNDAI SR,TransportEtVoiture,4
 GREEN OIL AIN A,TransportEtVoiture,4
 GUELIZ PNEUS Q,TransportEtVoiture,4
 HELB AUTO ,TransportEtVoiture,4
 HERTZ  MAROC FE,TransportEtVoiture,4
 HERTZ  MAROC TN,TransportEtVoiture,4
 IMPERIAL PNEU,TransportEtVoiture,4
 IMPERIAL PNEU B,TransportEtVoiture,4
 INTER SHIPPING,TransportEtVoiture,4
 JAGUAR MAROC,TransportEtVoiture,4
 JAKARANDA,TransportEtVoiture,4
 JENNYFER AP,TransportEtVoiture,4
 KASAI I,TransportEtVoiture,4
 KAUFMANN II,TransportEtVoiture,4
 KAYZEN RACINE,TransportEtVoiture,4
 KEYZA RACINE,TransportEtVoiture,4
 KIOTOI ZIRAOUI,TransportEtVoiture,4
 LA CASA ANDALOU,TransportEtVoiture,4
 LEGENDCO,TransportEtVoiture,4
 LOCATION AUTO C,TransportEtVoiture,4
 MIDAS,TransportEtVoiture,4
 MIRA FIORI,TransportEtVoiture,4
 MOBIL  I CHRIFI,TransportEtVoiture,4
 MOBIL I,TransportEtVoiture,4
 MOROCCO RENT,TransportEtVoiture,4
 NAFTAM CHEIKH,TransportEtVoiture,4
 NAFTAM SHELL AL,TransportEtVoiture,4
 OIL LIBYA  I LY,TransportEtVoiture,4
 OIL LIBYA I,TransportEtVoiture,4
 OIL STAT,TransportEtVoiture,4
 OILIBYA  I EL B,TransportEtVoiture,4
 OILIBYA LYON,TransportEtVoiture,4
 ORO MECANICA  I,TransportEtVoiture,4
 PETROM,TransportEtVoiture,4
 PETROM  D BOUSK,TransportEtVoiture,4
 PETROM  D EL HO,TransportEtVoiture,4
 PETROM  D ISTIR,TransportEtVoiture,4
 PETROM  D LES O,TransportEtVoiture,4
 PETROM  D TOUBK,TransportEtVoiture,4
 PETROM  I BAB A,TransportEtVoiture,4
 PETROM D ISTIRA,TransportEtVoiture,4
 PETROM I   MARS ,TransportEtVoiture,4
 PETROM I AZIMA,TransportEtVoiture,4
 PETROM I Chaoui,TransportEtVoiture,4
 PETROM I Girond ,TransportEtVoiture,4
 PETROM I LIMOUN,TransportEtVoiture,4
 PETROMIN,TransportEtVoiture,4
 PETROMIN ASWAK,TransportEtVoiture,4
 PETROMIN D SAPI,TransportEtVoiture,4
 PIECES AUTOS LA,TransportEtVoiture,4
 PNEU AMINE,TransportEtVoiture,4
 PNEU AMINE EL J,TransportEtVoiture,4
 PNEUMATIQUE AML,TransportEtVoiture,4
 PNEUMATIQUE ROC,TransportEtVoiture,4
 PREMIUM AUTO CA,TransportEtVoiture,4
 PRINCE AUTO,TransportEtVoiture,4
 RABAT CARTOUR,TransportEtVoiture,4
 RADIFA,TransportEtVoiture,4
 RENAULT MAROC ,TransportEtVoiture,4
 RYAD  AUTO,TransportEtVoiture,4
 SHELL,TransportEtVoiture,4
 SHELL,TransportEtVoiture,4
 SHELL  I,TransportEtVoiture,4
 SHELL I Dar Bou ,TransportEtVoiture,4
 SHELL I RASIMA,TransportEtVoiture,4
 SHELL TADLA,TransportEtVoiture,4
 SICAR AUTO,TransportEtVoiture,4
 SIXT CAR AER MV,TransportEtVoiture,4
 SMEIA,TransportEtVoiture,4
 SMEIA,TransportEtVoiture,4
 SOCOPETA,TransportEtVoiture,4
 SOPRIAM,TransportEtVoiture,4
 SOPRIAM RTE AZE,TransportEtVoiture,4
 SPDY MARJ RBT B,TransportEtVoiture,4
 SPDY MARJ RBT B ,TransportEtVoiture,4
 SPEEDY,TransportEtVoiture,4
 SPEEDY,TransportEtVoiture,4
 ST C S S HILTON,TransportEtVoiture,4
 ST PETROM RIAD,TransportEtVoiture,4
 ST SHELL SAMSA,TransportEtVoiture,4
 STAT EL GHABA,TransportEtVoiture,4
 STAT I  PETROFI,TransportEtVoiture,4
 STAT I TOTAL,TransportEtVoiture,4
 STAT I TOTAL VE,TransportEtVoiture,4
 STAT SERV TOTAL,TransportEtVoiture,4
 STATE OF ART,TransportEtVoiture,4
 STATION,TransportEtVoiture,4
 STATION I SHELL,TransportEtVoiture,4
 STE F H M,TransportEtVoiture,4
 STE MOBITOP,TransportEtVoiture,4
 STE STATION SER ,TransportEtVoiture,4
 SUD CONCESSION,TransportEtVoiture,4
 SUPER AUTO DIST,TransportEtVoiture,4
 TOP  PRESTIGE,TransportEtVoiture,4
 TOTAL,TransportEtVoiture,4
 TOTAL,TransportEtVoiture,4
 TOTAL  I,TransportEtVoiture,4
 Total D,TransportEtVoiture,4
 TOTAL D AZEMMOU,TransportEtVoiture,4
 TOTAL D BENSOUD,TransportEtVoiture,4
 Total D R,TransportEtVoiture,4
 Total D R,TransportEtVoiture,4
 Total D R  Chao,TransportEtVoiture,4
 TOTAL D R AL BA,TransportEtVoiture,4
 TOTAL D RELAIS,TransportEtVoiture,4
 TOTAL D RIVIERA,TransportEtVoiture,4
 TOTAL GARAGE EL,TransportEtVoiture,4
 TOTAL I,TransportEtVoiture,4
 TOTAL I,TransportEtVoiture,4
 TOTAL MOUSTAKBA,TransportEtVoiture,4
 TOTAL OPRA AZRO,TransportEtVoiture,4
 TOUT A CENT,TransportEtVoiture,4
 TOY MART    SA,TransportEtVoiture,4
 TOYOTA,TransportEtVoiture,4
 TOYOTA,TransportEtVoiture,4
 TRAM,TransportEtVoiture,4
 VILLAGE AUTO,TransportEtVoiture,4
 ZENATA CAR VILL,TransportEtVoiture,4
 ZIZ  I GAMAZIZ,TransportEtVoiture,4
 ZIZ D,TransportEtVoiture,4
 ZIZ D Tanger ,TransportEtVoiture,4
A L T D,Divers,5
A PARTNERS SA,Divers,5
ABOU EL HALIM B,Divers,5
ACTING FIRST CE,Divers,5
ADEMO SARL,Divers,5
AFRICAWORK COM,Divers,5
AL BOUROUJ SARL,Divers,5
ALAHYAN CONFISE,Divers,5
ANIMAL PLANET B,Divers,5
ANIMAL PLANET M,Divers,5
ANIMALAND,Divers,5
ARBORESCENCE,Divers,5
AWTAR EL FANNE,Divers,5
AZIZ ASS AG ZUR,Divers,5
AZUR SERVICES,Divers,5
BACADI,Divers,5
BAROUBID SARL,Divers,5
BEAUTY PULSE,Divers,5
BERRADA  MENAGE,Divers,5
BERRADA MENAGE,Divers,5
BOUT  PROPOSTA,Divers,5
BOUZIDI MOURAD,Divers,5
BRASSERIE ASNI,Divers,5
BRINS D ORIENT,Divers,5
C M M ESSAOUIRA,Divers,5
C M M TANGER,Divers,5
CAISSE ATELIER,Divers,5
CARSTYL,Divers,5
CENTRE D ACTIVI,Divers,5
CEPAGES,Divers,5
CMG CC,Divers,5
CMG CS,Divers,5
CMHD TAHLA,Divers,5
CMM ATLAS CASA,Divers,5
COGEPRA,Divers,5
COIFFURE PALACE,Divers,5
COM AND PROD,Divers,5
COMMUNICA,Divers,5
CONCEPT COIFFUR,Divers,5
CONSTANTINOPLE,Divers,5
DAMAS SECURITY,Divers,5
DIDON GHANDI,Divers,5
DREAM S  SHOW,Divers,5
EHM CAISSE PRIN,Divers,5
EHM PAVILLON SE,Divers,5
EL MAJDOUB AIN,Divers,5
EL YOUSFI AHMED,Divers,5
EN APARTE EVENT,Divers,5
ENTREPRISE EL I,Divers,5
ERAM BF,Divers,5
EXTRA PROPRE,Divers,5
F I C,Divers,5
F O T,Divers,5
FLEURITEL  ECOM,Divers,5
FOGET APPART HT,Divers,5
FRS PORT TNG VI,Divers,5
GAM CASA BRAND,Divers,5
GHAILAN ET BOUB,Divers,5
HAIR SYSTEM LAB,Divers,5
HLD   MARS,Divers,5
IGLI METAL,Divers,5
IMAGES,Divers,5
JAWHARA SARA,Divers,5
JEMJAMI ABDELTI,Divers,5
JO S,Divers,5
KABILA PV II,Divers,5
KAHI,Divers,5
KSEC,Divers,5
KUM   KUM,Divers,5
L P A,Divers,5
L USINE A REVES,Divers,5
LA FONDA GAUTHI,Divers,5
LA FONDA MLY ID,Divers,5
LA TERRE DES ME,Divers,5
LAM RIAD,Divers,5
LE BON MARCHE,Divers,5
LE CLAP,Divers,5
LE F TRAITEUR,Divers,5
LE STANDARD,Divers,5
LES COLONNES RH,Divers,5
LIBRE SERVICE,Divers,5
LUCIE SAINT CLA,Divers,5
LUIS KRAEMER,Divers,5
MADAME A MARRAK,Divers,5
MAG  MEGASTORE,Divers,5
MAHATTAT AL AFA,Divers,5
MANAR D OR I HA,Divers,5
MC GREGOR,Divers,5
MHAMED IDBAKKAS,Divers,5
Mme  HAKIMA  BE,Divers,5
MME BENNANI,Divers,5
MME LEMSEFFER I,Divers,5
MONSIEUR BROCHE,Divers,5
